iter	RMSE
0	2.890705207
1	2.841467185
2	2.800256855
3	2.767193352
4	2.741210706
5	2.718245264
6	2.697033572
7	2.680953165
8	2.666351269
9	2.653494948
10	2.643768235
11	2.635035679
12	2.627773199
13	2.620431841
14	2.614675874
15	2.606346429
16	2.597904048
17	2.5902687
18	2.582883231
19	2.577610762
20	2.573495004
21	2.569605834
22	2.566101216
23	2.562571509
24	2.559969754
25	2.556602441
26	2.554855317
27	2.550486861
28	2.548774231
29	2.54409024
30	2.540009318
31	2.538233757
32	2.536899054
33	2.534857897
34	2.53363469
35	2.532444141
36	2.531324826
37	2.53021696
38	2.529440149
39	2.528686048
40	2.527832721
41	2.527091101
42	2.526604011
43	2.525933362
44	2.525322086
45	2.524936526
46	2.524188406
47	2.522551364
48	2.521754892
49	2.521295913
50	2.520495204
51	2.519939825
52	2.519430297
53	2.518980003
54	2.518548656
55	2.517930056
56	2.517510844
57	2.516431444
58	2.514967412
59	2.514524922
60	2.514016884
61	2.513548906
62	2.513073697
63	2.51249002
64	2.51186114
65	2.510956119
66	2.510580435
67	2.510231438
68	2.509703959
69	2.509358712
70	2.508845138
71	2.508344855
72	2.50793289
73	2.507507926
74	2.50703802
75	2.506661165
76	2.506205459
77	2.505639063
78	2.505239412
79	2.50478193
80	2.50450526
81	2.503808659
82	2.503451152
83	2.502832354
84	2.502294271
85	2.501806748
86	2.501549041
87	2.500472038
88	2.50019325
89	2.499913636
90	2.499493136
91	2.498946973
92	2.498674053
93	2.498302933
94	2.49782533
95	2.496140739
96	2.495882894
97	2.495607282
98	2.495129213
99	2.49487905
100	2.494639888
101	2.494114975
102	2.493675307
103	2.493261861
104	2.492401465
105	2.49215163
106	2.491915845
107	2.49144804
108	2.490518431
109	2.490145121
110	2.489904694
111	2.48960965
112	2.489450895
113	2.487614475
114	2.487280737
115	2.486753148
116	2.486488777
117	2.486155244
118	2.485515249
119	2.485121065
120	2.48477557
121	2.48443843
122	2.484148145
123	2.482575086
124	2.481813737
125	2.481567259
126	2.481292751
127	2.480751558
128	2.480331604
129	2.479414562
130	2.47892766
131	2.478521719
132	2.477810655
133	2.477542038
134	2.476905665
135	2.475962477
136	2.475547082
137	2.474639538
138	2.47416716
139	2.47377668
140	2.473277803
141	2.473060953
142	2.472467587
143	2.47211196
144	2.471868012
145	2.471245524
146	2.470638742
147	2.470288942
148	2.469873483
149	2.469419182
150	2.468833129
151	2.467914444
152	2.467470228
153	2.466985699
154	2.466778851
155	2.466517563
156	2.466220564
157	2.465746722
158	2.465557102
159	2.465132834
160	2.46476992
161	2.464341179
162	2.464108169
163	2.463883022
164	2.463642902
165	2.463216619
166	2.462757268
167	2.462320011
168	2.461624154
169	2.460993048
170	2.46053918
171	2.460133785
172	2.459983463
173	2.459198018
174	2.458691344
175	2.457817678
176	2.457400858
177	2.457170326
178	2.456805223
179	2.456343575
180	2.455979077
181	2.455767102
182	2.455560092
183	2.455072729
184	2.454912655
185	2.454470134
186	2.453991285
187	2.453612024
188	2.453609899
189	2.45293027
190	2.452518307
191	2.452230579
192	2.451636051
193	2.451247788
194	2.450819624
195	2.450467964
196	2.450044661
197	2.449690222
198	2.448923358
199	2.448780625
